emoji,sentiment_score,positive,neutral,negative,description
☷,0.06493506493506493,0.07792207792207792,0.9090909090909091,0.012987012987012988,TRIGRAM FOR EARTH
🐷,0.375,0.4473684210526316,0.48026315789473684,0.07236842105263158,PIG FACE
🙉,0.33999999999999997,0.5133333333333333,0.31333333333333335,0.17333333333333334,HEAR-NO-EVIL MONKEY
🌺,0.56,0.5733333333333334,0.41333333333333333,0.013333333333333334,HIBISCUS
💅,0.3959731543624162,0.5771812080536913,0.24161073825503357,0.18120805369127516,NAIL POLISH
🐶,0.5878378378378379,0.668918918918919,0.25,0.08108108108108109,DOG FACE
🌚,0.472972972972973,0.6283783783783784,0.21621621621621623,0.1554054054054054,NEW MOON WITH FACE
👽,0.32191780821917804,0.410958904109589,0.5,0.08904109589041095,EXTRATERRESTRIAL ALIEN
🎤,0.48611111111111105,0.6041666666666666,0.2777777777777778,0.11805555555555555,MICROPHONE
👭,0.47222222222222227,0.6111111111111112,0.25,0.1388888888888889,TWO WOMEN HOLDING HANDS
🎧,0.4225352112676057,0.5492957746478874,0.323943661971831,0.1267605633802817,HEADPHONE
👆,0.3333333333333333,0.4492753623188406,0.43478260869565216,0.11594202898550725,WHITE UP POINTING BACKHAND INDEX
🍸,0.5507246376811594,0.6376811594202898,0.2753623188405797,0.08695652173913043,COCKTAIL GLASS
🍷,0.40145985401459855,0.45255474452554745,0.49635036496350365,0.051094890510948905,WINE GLASS
®,0.2846715328467153,0.35036496350364965,0.583941605839416,0.06569343065693431,REGISTERED SIGN
🍉,0.6102941176470589,0.6838235294117647,0.2426470588235294,0.07352941176470588,WATERMELON
😇,0.6,0.6666666666666666,0.26666666666666666,0.06666666666666667,SMILING FACE WITH HALO
☑,0.10370370370370371,0.11851851851851852,0.8666666666666667,0.014814814814814815,BALLOT BOX WITH CHECK
🏃,0.41481481481481475,0.5037037037037037,0.4074074074074074,0.08888888888888889,RUNNER
😿,-0.3805970149253731,0.20149253731343283,0.21641791044776118,0.582089552238806,CRYING CAT FACE
│,0.35074626865671643,0.35074626865671643,0.6492537313432836,0.0,BOX DRAWINGS LIGHT VERTICAL
💣,0.007633587786259555,0.31297709923664124,0.3816793893129771,0.3053435114503817,BOMB
🍺,0.5038167938931298,0.5648854961832062,0.37404580152671757,0.061068702290076333,BEER MUG
▶,0.21374045801526717,0.26717557251908397,0.6793893129770993,0.05343511450381679,BLACK RIGHT-POINTING TRIANGLE
😲,-0.06976744186046513,0.3178294573643411,0.29457364341085274,0.3875968992248062,ASTONISHED FACE
